org,name,position,date,district
Williams And Connolly Partner Douglas Marvin,Ana C. Reyes,united states district judge for the district of columbia,"Wednesday, June 22, 2022", district of columbia
Beth Malcom,Ana C. Reyes,united states district judge for the district of columbia,"Wednesday, June 22, 2022", district of columbia
President Of KY YMCA,Ana C. Reyes,united states district judge for the district of columbia,"Wednesday, June 22, 2022", district of columbia
Congressional Hispanic Caucus,Ana C. Reyes,united states district judge for the district of columbia,"Wednesday, June 22, 2022", district of columbia
Dolores Huerta,Ana C. Reyes,united states district judge for the district of columbia,"Wednesday, June 22, 2022", district of columbia
HNBA,Ana C. Reyes,united states district judge for the district of columbia,"Wednesday, June 22, 2022", district of columbia
LeGaL,Ana C. Reyes,united states district judge for the district of columbia,"Wednesday, June 22, 2022", district of columbia
Unlikely Heroes,Ana C. Reyes,united states district judge for the district of columbia,"Wednesday, June 22, 2022", district of columbia
Current And Retired Members Of RI Judiciary,Lara E. Montecalvo,united states district judge for the western district of washington,"Wednesday, May 25, 2022", western district of washington
RI Supreme Court Justices,Lara E. Montecalvo,united states district judge for the western district of washington,"Wednesday, May 25, 2022", western district of washington
Current And Retired LEOs,Lara E. Montecalvo,united states district judge for the western district of washington,"Wednesday, May 25, 2022", western district of washington
AFJ,Lara E. Montecalvo,united states district judge for the western district of washington,"Wednesday, May 25, 2022", western district of washington
PFAW,Lara E. Montecalvo,united states district judge for the western district of washington,"Wednesday, May 25, 2022", western district of washington
Former Prosecutors,Lara E. Montecalvo,united states district judge for the western district of washington,"Wednesday, May 25, 2022", western district of washington
Co-Chairs Of Local Rules Committee,Tiffany M. Cartwright,united states district judge for the district of colorado,"Wednesday, May 25, 2022", district of colorado
FBA,Tiffany M. Cartwright,united states district judge for the district of colorado,"Wednesday, May 25, 2022", district of colorado
Cheryl Bishop,Tiffany M. Cartwright,united states district judge for the district of colorado,"Wednesday, May 25, 2022", district of colorado
Craig C. Martin,Tiffany M. Cartwright,united states district judge for the district of colorado,"Wednesday, May 25, 2022", district of colorado
Former Alaska Appellate Law Clerks,Tiffany M. Cartwright,united states district judge for the district of colorado,"Wednesday, May 25, 2022", district of colorado
Former Stanford Law Classmates,Tiffany M. Cartwright,united states district judge for the district of colorado,"Wednesday, May 25, 2022", district of colorado
Shayna Murphy,Tiffany M. Cartwright,united states district judge for the district of colorado,"Wednesday, May 25, 2022", district of colorado
Stanford Law SCOTUS Clinic Director Jeff Fisher,Tiffany M. Cartwright,united states district judge for the district of colorado,"Wednesday, May 25, 2022", district of colorado
WA Employment Lawyers Association,Tiffany M. Cartwright,united states district judge for the district of colorado,"Wednesday, May 25, 2022", district of colorado
WDWA FBA Local Rules Committee,Tiffany M. Cartwright,united states district judge for the district of colorado,"Wednesday, May 25, 2022", district of colorado
Former Clerks To Judge Betty Binns Fletcher,Tiffany M. Cartwright,united states district judge for the district of colorado,"Wednesday, May 25, 2022", district of colorado
WSAJ,Tiffany M. Cartwright,united states district judge for the district of colorado,"Wednesday, May 25, 2022", district of colorado
AFJ,Tiffany M. Cartwright,united states district judge for the district of colorado,"Wednesday, May 25, 2022", district of colorado
LCCHR,Nancy L. Maldonado,united states district judge for the northern district of illinois,"Wednesday, May 11, 2022", northern district of illinois
NELA,Nancy L. Maldonado,united states district judge for the northern district of illinois,"Wednesday, May 11, 2022", northern district of illinois
